min,max,avg
691900,122226000,3354919
1863600,5405900,3336084
2398100,18281000,3338369
3312800,23072900,13111901
13352800,34524100,25396263
2007800,27108300,3340939
2377200,6397600,3336495
2318200,11856400,4186359
3741500,35243800,19270954
12353900,40946500,24488229
2359900,22214900,3348220
2369300,36138200,4548163
3333900,38158700,19520247
19376300,248722500,120372431
98006900,230290300,170273505
2172600,180922000,3436143
3333400,33341100,13165117
15084300,163169700,96152800
106974600,693880800,522064492
535741200,1566836000,818950528
2669500,686676500,4011148
3325800,50050700,20338818
22022800,571829200,181609736
175405600,1707364000,1054788284
879057400,1964630300,1464077535
2529500,1508822100,5112133
2747300,10956000,4313694
3612300,13901000,7194622
5501800,29631600,26991764
27512400,45998300,38540521
3472100,37435500,9035258
9138000,21440600,12635293
11048100,17555500,15522620
15592500,35736100,33099474
32580100,47270900,44295014
37413600,85781400,40267171
33525900,47775100,40219059
30596100,65996800,42184132
58395000,103928100,89900041
48248200,99718300,84041329
57657600,324187300,212827156
144403300,304288900,186144505
142120100,274563000,191496940
160251500,341546300,222437393
167207000,460515600,229799680
177517300,568500700,391735913
321880300,618034500,426093100
342729300,681225500,388104336
324455500,583453700,403827160
314288400,603759200,418492193
