min,max,avg
2230000,128166500,3357065
2118600,5837700,3336114
2338500,20674000,3338964
3305300,22040800,13126014
13073300,37335900,25500283
2170600,25107600,3341720
1940600,5744400,3336326
2258200,6493800,3337037
3382600,37142200,6397408
7461200,20145900,15059313
1728500,15812500,3342747
2416300,7013400,3336440
2971000,21068700,10590927
10806900,73573700,56857089
56207100,136672700,84088176
2295300,92521400,3390334
2517000,14408800,4226444
4112300,89821900,47529513
45634400,386764200,261348460
347376000,614096900,473339060
2649800,349521400,3846273
3169800,16718700,7873730
11669400,219723100,92580303
90427300,896309300,532184602
532436100,824030500,733096266
2405500,786528900,3756723
2518700,4742500,3336322
2608400,6306300,3372916
3486700,18466400,11037521
7806800,28193000,17533377
2655500,13513800,3737508
2426900,10937100,4014008
2939400,19509600,6883977
6047700,19471100,17212249
17638400,30606200,26998353
12796900,50255100,21579485
12349900,37228100,18205749
16385600,45037300,20446067
22137700,56875900,37181337
31127300,67233100,57474624
60063500,185589500,180449411
64185900,186656800,115645666
77393900,160855900,90429390
71895400,202265200,100043474
78381500,161441700,102105786
95579000,250946300,177006308
148873900,318093900,202378944
125915000,317580800,180593543
125374500,360705700,181256654
160690100,396654800,204269884
