min,max,avg
2316200,136942000,3358683
2122500,16981800,3338648
2617800,6369100,3336975
3336000,21267000,13095403
14128600,39144700,25398089
2173900,25099400,3339946
2066600,4841700,3335960
2349200,7370200,3337593
2871700,11649500,5912665
5631500,17460100,11149736
2169800,32670900,3340572
2413500,5885000,3336218
2529800,14591300,4078932
6216500,58049100,34883393
44358300,84262800,55012149
2336000,56435100,3370793
2313600,18711400,3397044
3332100,46650400,27922930
26075700,176504500,163876113
164397400,274792800,231889252
2744700,243345000,3832519
2753000,20969600,4994467
7318200,115923100,57555773
58040200,405934800,334918845
320320000,749116500,469072767
2375900,482608700,3586395
2628000,5825200,3336425
2418200,6066400,3336674
3333800,13731900,6539175
5842400,28523100,13138072
2388300,15123600,3342492
2558800,15555500,3348602
2360800,13112600,4089097
3398100,14572300,7338300
6846300,29513700,14969537
3325400,17972800,11782397
7625800,19375500,10411497
8483700,22473900,11016424
8604400,72827800,24018905
30655100,42138700,40058332
41330500,110085700,103250094
34374800,105988000,49326777
37754500,94193200,51725701
38131400,95908500,57562723
46903200,121828100,62254279
56648600,182379800,103726485
73570800,163186800,100018106
76528400,142856100,90960106
94461000,174966700,105780519
99374700,171172100,112243846
