min,max,avg
1132400,154205100,3361934
1825200,5492600,3336755
2292700,7622800,3338020
3333200,21787400,13124545
12924000,48411700,25569614
2103800,24877400,3339638
2368800,4339200,3335965
2327200,7155500,3337190
3333600,18322700,6145246
5910400,17437000,11069305
2265200,10624900,3337901
2146900,5657100,3336889
2288400,6853500,3338447
3333700,23633400,6378563
5957400,19185200,11590875
2268700,12132800,3350469
2307100,7397800,3344735
2507500,13802700,4082048
5704500,40196900,32508551
27967100,61781500,49546037
2587000,58870500,3424947
2522000,8837200,3399382
3332000,19652800,8799604
8493200,128596600,69843247
52544500,107742900,89952673
2230500,105939500,3387024
2387900,4294800,3336020
2359700,6693800,3336430
3283800,26153600,5911224
5542300,45444300,11945945
2376700,2023331200,3718949
2214200,18443000,3345344
2201600,32632000,3342406
3334600,39408200,5998883
6207000,28521800,11760149
2246600,33924300,3348952
2316100,33358500,3341532
2240600,33208600,3348360
2933600,22169300,7497873
6934000,54749700,12719495
2704600,36359000,6022636
2757700,24685200,6466529
3022400,36011800,6669363
5360800,39956700,11581458
10741300,49184700,16038281
4209100,38592700,12489658
5772000,50470400,12643125
3676300,36427000,11746357
7671800,45236900,20596195
13621400,50538900,21680613
