min,max,avg
1052600,127101700,3418688
2636300,4018200,3335740
2712600,5090000,3336328
3334300,25523100,13172114
13255600,41499400,25701582
2233800,26236000,3351657
2253900,6085100,3337270
2543500,4137700,3335623
3334800,25637800,6026834
6060400,17029900,11440545
2451000,11395600,3341177
2569700,4137700,3335759
2735300,8902300,3874709
4098400,31165800,28170447
30208900,59496700,41295972
2473000,64414300,3465792
2345100,6288000,3359254
3331200,28441800,21103950
21768400,157558000,133473751
175858000,246108600,215552883
2385500,190169100,3812636
2777700,28699900,4421995
3731400,58051400,46231917
52316700,333969000,280428600
325440000,477717200,433097966
2430100,483689100,4516431
2588800,4106000,3335588
2533300,4987000,3336678
3332700,10931400,5870823
5338000,17126100,10975736
2500900,11554000,3341424
2229800,4454400,3336409
2193300,7377700,3346792
3333800,11470200,6015590
5534900,19012100,11088732
3315000,14864700,8892153
6994300,14914200,9005370
7495700,14456100,10021197
7867100,19768300,14867755
14116200,33866600,18737957
17525900,57016200,42636978
42120500,47941700,43551069
43130900,48468900,46317454
46294700,61298000,58653765
57447100,64979100,62243627
62294100,177472100,108655747
86524600,90324200,88169245
87686300,97469600,94855469
93867100,119078200,113811477
112096000,178752400,123752663
