min,max,avg
643600,140024900,3434170
2331900,4340800,3335520
2529300,5936900,3339191
3314300,21268600,13301771
6791700,22138200,13415308
2688900,11521900,3342613
2643700,4026800,3336239
2826900,3864500,3335510
3296400,11992000,6452744
6472900,18857300,12146613
2701700,11940200,3344253
2545100,4145300,3335690
2533500,8537300,3340442
3331600,19596200,6291402
6998500,17469200,11431452
2310900,12438900,3354155
2407800,19456000,3363056
2513500,5341400,3352921
3353800,24157800,20336571
20133900,31486600,28333129
2488600,27435800,3460827
2612500,7477400,3401098
3331000,10830900,6119580
6326600,37076500,35242317
35609200,55622200,52264704
2457800,53717600,3437515
2543500,4125800,3335561
2431400,4256500,3335638
3334700,11303800,5899647
5549900,16962000,10938085
2635000,13574200,3343782
2454500,5992200,3337727
2097000,4584600,3336379
3299700,11393100,6599617
6389100,18346000,12239915
2452200,11776500,3342973
2594000,7782500,3339316
2699100,3974100,3336407
3356400,14685400,6966313
7235700,18241800,12673272
2607000,11233200,3401956
2568200,14560800,3641141
2725400,10460900,4231521
4006800,14437200,7577554
8982200,19226200,12232392
3332900,12106400,7784850
5912200,9419100,7778805
6198400,14503500,8352869
7293400,30116700,11967406
12415400,21840200,16562242
