min,max,avg
3139300,182583600,3476314
3164800,5824300,3339989
2663000,12290800,3342796
3326600,17341100,7469211
7264300,24122700,14594041
3051700,13853700,3342758
2945300,3725700,3335865
3099900,3567600,3336172
3339500,13363400,7354680
8430700,19233000,14905064
3125800,15056100,3345591
3152800,6383400,3338760
3314000,13899700,7710913
7579800,60688700,56484801
57922000,82142200,79261707
3075900,80344500,3520561
3149700,24311000,4841177
3880400,40031000,36831657
37077300,417595800,298054787
247730600,414895200,348028740
3024600,369143100,5067245
3323600,14504300,7027138
6278600,93319000,84530964
88502300,555150200,418347209
540791200,1438788700,778871016
3092600,1409224200,7682245
3051500,6921500,3340865
3079000,18940700,3348505
3296500,12992800,7813397
8075000,19991000,14063638
3120700,16391300,3439418
3052900,7833900,3453793
2945600,6884400,4062624
3339400,18508300,12576114
11143700,23475800,15037892
15328700,33630000,18449733
5751300,28430100,16843058
16435900,26189500,18628636
18927000,29457400,26212762
23126600,33283400,26786489
23260300,91017400,76706120
67136900,98354800,73392160
96167100,105427600,102354844
81408100,127475200,106761144
81646800,89080900,87185093
86417300,206620200,179323228
137400200,200242600,158874759
137842700,225237500,171116926
162174700,265858500,197597773
162171300,172570100,169281213
