min,max,avg
1112200,178617700,3467627
2278800,4401900,3335595
2541700,4240200,3335775
3361400,14071300,5723963
5715500,21059200,11059614
2386800,11011700,3341333
2536800,5924100,3339076
2539200,4128300,3335455
3289200,11812300,5828418
6198000,16922600,11189570
2554600,12597300,3342286
2301100,4369200,3334897
2691300,5223000,3341190
3357400,19645000,14141780
12689200,25359500,22440372
2190800,23375500,3384540
2402900,5167100,3345737
2997800,18057300,9892456
9688600,81861200,70096522
79157300,113127900,101422588
2624400,106238500,3621480
2569900,11595200,3409441
3333100,25593400,22287801
20517400,144062300,131303800
142115900,207231200,196351034
2550400,209539100,3785365
2158800,15500800,3356753
2435000,7925000,3338824
3332000,12361600,6477783
6270100,18696800,12282521
2564300,13524900,3342565
2349300,4854600,3337716
2399200,4277300,3336319
3333000,12483500,5990998
6083000,16763500,11183699
2519800,12514300,3386377
2364600,9737900,3531367
2714000,8545300,4165359
3916000,11772100,7543798
7186900,17681300,11746814
11653500,26867000,18676591
16430000,20831700,17849788
17362500,21213000,18804744
18841700,26721300,23249190
23104900,40655000,27113871
26001200,43269700,34890399
33368000,39891900,34990907
34861600,38288100,36665154
36516700,54627200,42181605
39971900,51286700,46842844
