min,max,avg
3332276,91590970,3418639
3332207,13731066,3347963
3322540,5768735,3394340
3347282,20142527,17108896
18384773,45782661,34304200
3323025,32913192,3378888
3331351,12703597,3353136
3332097,12214270,6082668
6301696,30369861,27135982
29301363,49089654,47630232
3324221,48309918,3392854
3331606,46994251,5996994
3336698,69216012,33388004
33169613,220321076,198996257
211440700,309406827,280747426
3315999,283951987,3794536
3333610,125474269,16572945
3552129,153880607,139154389
149385396,1051412899,744975823
1071125675,1437942420,1253369145
3333110,1357044169,6531227
3333544,207245209,26832878
27978827,306908968,262126620
297229735,1866901312,1133666667
1914975973,2683379441,2185008698
3338030,2827535972,40327183
3336343,87443884,12840622
10397112,61523995,17223245
16196160,44130140,40430054
38836543,63739575,59849581
3335105,111826841,18022223
3325392,134245282,18826038
4384751,92636897,23379889
18588307,51092312,47992740
47225722,70632569,67185801
3341235,94617772,62063706
3336538,454726965,64905861
5361215,321732336,73821151
73372530,144664261,97736816
98967562,119418571,116208472
3340901,386975576,216120420
4258107,283489034,264687849
275136932,1392662237,390440343
280746902,574973542,330516159
322766173,356236339,341631093
4210075,871844866,351597935
4696909,554946375,497495930
545525738,2752909057,1097365728
558595190,1101091605,645660472
603535893,634973232,623000236
