min,max,avg
3329494,85030101,3411793
3333154,13758188,3345678
3330798,4585191,3354061
3338610,20124406,15437429
15246269,35221662,30308188
3332862,30365417,3360562
3332493,3495795,3339053
3329868,8737281,3950173
3902883,21631332,19091209
21376418,39857572,38088397
3321573,37611023,3378245
3328097,30664751,3826888
3339264,47880345,22095241
22447000,141781905,130386552
135942652,187875735,179432962
3332841,184804640,3582574
3333382,86254824,11095858
3400776,195245782,91308270
95751000,658297018,527807638
635135782,899193890,807843867
3332831,837200263,5024477
3333399,145097068,18569465
18802566,198737671,175034493
191133885,1168723741,855727300
1142755272,1740515204,1428051442
3335823,1756496505,12142374
3329383,37190048,5951556
3334677,27989780,8101136
8382473,26740770,24986178
24999506,61785784,41943530
3334846,60105763,9489852
3332176,69122007,9761406
3349402,27617492,11636327
11149603,29618081,28320745
29039187,47893594,45557984
3341418,53268017,36115823
3334029,265617608,35865099
3796978,178723995,40682377
39632004,81648791,58114640
57856992,78885760,75574630
3336480,216556209,132909462
3336711,1102078237,152126007
154189543,780350656,187391591
156817036,320759655,187662831
193440946,213161322,207630653
3611864,493212442,229280311
6860561,312924138,290321459
300360174,1532711293,437195723
312767794,617760826,353045010
339938347,373285906,360475865
